review_id,rating,comment,is_negative
95898040,1,The front desk was so rude. We wanted to dispute our bill but they gave us so much attitude.,1
95898041,5,Fun experience. The resort staff gave us many great suggestions of what to do at the resort.,0
95898042,1,Horrible. This place is not clean. I kept scratching in my bed when I tried to sleep.,1
95898043,5,Such a lovely place. The upkeep of this resort is impeccable. Absolutely stunning.,0
95898044,4,Great place overall. Transportation to the resort is hit or miss.,0
95898045,5,Wow is all I can say. What an amazing experience.,0
95898046,1,"Our dinner was really bad. My porterhouse was overcooked, my wife's food wasn't seasoned and the cocktails we ordered were overly sweet.",1
95898047,5,This is the best place to be. On a beautiful beach sipping sangria. ,0
95898048,4,This hotel is definitely really good. Only downside is the price.,0
95898049,4,"Really great, but not the best value.",0
95898050,5,Very extravagant. Our suite was impeccable and the ocean view was breathtaking.,0
95898051,5,I can't believe I stayed here! All the staff were so efficient and helpful. Such an amazing time.,0
95898052,4,Staff was great and really work hard. The room was a little untidy.,0
95898053,5,The charcuterie they offered in the bar was amazing. I was there every night.,0
95898054,5,I want to live here. The porterhouse here is to die for.,0
95898055,5,So much family fun along with amazing staff to help you every step of the way.,0
95898056,4,Everything was good. My family had a good time.,0
95898057,5,Absolutely mind-blowing. I have never been at a resort that was so hospitable.,0
95898058,5,Extremely accommodating. They do not cut corners and have an incredible sense of how to satisfy the guests.,0
95898059,5,Such a beautiful place. I will return with more friends next time.,0
95898060,4,"Value wise, it is not the best. Regardless, it was still a fun time",0
95898061,1,"It was so noisy. I know it's not the hotel's fault for the noise, but they declined to address my concerns and were not at all accommodating.",1
95898062,3,This resort was just adequate. Nothing too special. ,0
95898063,1,What a waste. Our sheets were not pressed and the view was not what we asked for.,1
95898064,1,Awful. It rained during our stay and the hotel had nothing to offer us to do. Our family was devestated.,1
95898065,2,This review is two stars solely because the staff was great. Everything else was down the drain. Especially the spa which was despicable.,1
95898066,1,That is no spa. To charge such high prices for low-quality treatment is outrageous. Never again.,1
95898067,5,My anniversary here with my husband was the best. Thank you!,0
95898068,5,I will return here! The beach is really something else here!,0
95898069,1,This place is distasteful. Especially the spa. I can't believe how much you charge for a simple thirty minute massage.,1
95898070,5,So serene and peaceful! The poolside food service really made my day!,0
95898071,5,Great menu options for both food and drink! Will never get over how amazing this place is.,0
95898072,5,The resort is marvelous. The governor's suite provided such a great place for my family.,0
95898073,4,The views are amazing. I just wish we had a little bit more of a view of the ocean.,0
95898074,5,So beautiful! I can't wait to come back!,0
95898075,5,I love this place. I can't wait to come back to see what foods they will have the next time!,0
95898076,4,Our conference was a success and it was really pleasant.,0
95898077,4,Really standard experience. The food and drink was the best part. My favorite was the seasonal fish.,0
95898078,3,The food was outstanding. The best steak I 've had in a long time. The spa though was atrocious. This place needs to step up their spa game.,0
95898079,5,Everyone was so helpful! I can't thank the staff enough for taking care my every request.,0
95898080,5,Pleasant and beautiful place overall. All of the staff had smiles on their faces and always made my day.,0
95898081,4,Good service and food. Our room was not resrocked when we first arrived.,0
95898082,3,The room was just okay. It seemed a little run down and our AC would give out. Everything else was impeccable.,0
95898083,1,What a beautiful hellscape. It's so pretty coupled with terrible service and disgusting food.,1
95898084,1,Overpriced and filthy. Your check in is so slow and the rooms we were put in were all riddled with crumbs and dust.,1
95898085,1,My TV was broken and the maintenance team was inconsiderate.,1
95898086,5,The staff are the highlight of this place. So accommodating and helpful.,0
95898087,1,I will not be coming back. I have mobility handicaps and I was rushed out of my room for check out. Everything was great until that point.,1
95898088,4,Really pleasant and fun. Just a bit pricey,0
95898089,1,This place has me so upset. Housekeeping did a horrible clean of my room and went into my room with my do not disturb sign on the door.,1
95898090,5,Exceeded my expectations. The ribeye and old fashioned is so delicious.,0
95898091,4,This is a fun resort with good amenities. I enjoyed my stay.,0
95898092,1,The spa was so bad. I can't believe how unprofessional and unkept the spa is.,1
95898093,1,The conference rooms were not set up for my meetings in time and I was given excuse after excuse by the event manager. This has been so unprofessional.,1
95898094,5,The ocean front suite is so beautiful and ,0
95898095,4,Really pretty views and caring staff. The meals I had were somewhat salty.,0
95898096,4,What a pretty resort. The staff is helpful in every aspect.,0
95898097,5,The boutique stores are so cute! I love the gifts that you have to sell!,0
95898098,4,Pricey but worth it!,0
95898099,1,I sent my food back three times because each time it was overcooked. Also my server was outright mean to me.,1
95898100,1,"The spa staff were so uncaring. I understand if it's busy, but they simply did not want to help with my simplest requests.",1
95898101,5,The chicken taco special was amazing! Poolside is the way to go!,0
95898102,5,"The concierge was amazing! They are informative and professional, setting up acommodations for us outside of the hotel as well.",0
95898103,5,"Simply outstanding. The views, the food, and the overall vibe cannot be beaten.",0
95898104,5,My mind has been blown. The staff took care of us at every step.,0
95898105,4,The Jensen Suite was nice but smaller than expected. Regardless it was amazing.,0
95898106,5,The ocean front room is crazy. It is definitely the highlight of my trip.,0
95898107,5,"The staff is so fast and efficient! Even when busy, they know how to be efficient with all of the guests.",0
95898108,5,The spicy margaritas and other cocktails are really delicious.,0
95898109,5,What an amazing experience. I will never forget these past few days.,0
95898110,1,I am absolutely infuriated. I paid for a spa package for them to tell me I can't use it because it was overbooked. Unprofessional.,1
95898111,4,The breakfast buffet was amazing even though a bit pricey.,0
95898112,5,"If I could, I would stay here indefinitely. It is very beautiful with really good food, drinks, and amenities.",0
95898113,5,The beach is so relaxing. To be able to order drinks poolside is even better.,0
95898114,4,Everything was good. The room view was a little underwhelming though.,0
95898115,1,My room was filthy upon arrival and it took 30 minutes for someone just to come and barely clean it.,1
95898116,5,Such an extravagent experience. I will be returning,0
95898117,5,My kids and I were so happy to be here. This was amazing!,0
95898118,4,The conference overall was a success. There were a few hiccups but the staff accommodated.,0
95898119,4,"The spa was a little underwhelming, but overall it was a great time.",0
95898120,5,My experience here was simply the best. The mushroom risotto was absolutely the best dish I had here.,0
95898121,4,It was a pleasant experience.,0
95898122,4,Pretty good for what we paid for. I wish there was more to do.,0
95898123,5,Everything was perfect. I loved every aspect of this resort.,0
95898124,5,Very family friendly!,0
95898125,4,It was a fun experience to be here with the family. The beach was nice and everyone was very sweet to us.,0
95898126,1,Our experience was not at all what we hoped. The food was awful and our room was a mess. I can't believe how much we spent and how little value we received.,1
95898127,1,"This was atrocious. I don't like to complain, but this was really one of the worst experiences I've had. No one came to our aid when we needed it, everything felt dirty, and none of the amenities were even at par.",1
95898128,5,Really great! I have no complaints and I will we back with my friends and family.,0
95898129,4,Wonderful place. A little bit outdated but still a good beach place to relax.,0
95898130,5,Never thought I'd experience anything like this. Truly outstanding!,0
95898131,3,The experience here is just above average. Everything is what you expect it to be here. Nothing mind-blowing,0
95898132,5,Such a beautiful place. We can't wait to come back!,0
95898133,5,This the best resort I've ever been to. So beautiful and the people here areso helpful and hospitable!,0
95898134,5,Lovely job all around. I love this place and I never want to leave!,0
95898135,1,"It's really bad. I was told that there were so many great things about this resort and nothing has been even remotely positive. The food is bad, the spa amenities are broken, and it's just not a good time. this place needs to be better.",1
95898136,4,"Pretty good I will say. The food, especially breakfast here, is pretty special.",0
95898137,5,I can't believe how great this place is. It's so beautiful and the staff are the best!,0
95898138,5,Spectacular resort! Everything was perfect with everything being perfectly executed.,0
95898139,4,Great experience for great value. Much love goes out to this resort.,0
95898140,5,Our wedding party enjoyed every aspect of this resort. The catering expecially was amazing along with the bar cocktails that were prepared for us.,0
95898141,1,Never again will we come here. Repeatedly have we asked to get our room cleaned for the staff to only steam our sheets and nothing else. There is no care here for the guests.,1
95898142,5,Such a beautiful place! The concierge was especially helpful as they provided everything we needed in a timely manner.,0
95898143,1,The front desk was awful. I don’t understand why you would hire such terrible front desk staff that do not care about guest experience..,1
95898144,1,I feel sick after being here. The outdoor food stand made me feel sick along with the dirty rooms. It's like the vents aren't clean.,1
95898145,1,The spa is the reason why you are getting a poor rating. Fix your amenities and train your staff better.,1
95898146,5,Lovely resort. I will always be happy coming here! The staff as always take care of my family and I.,0
95898147,1,"Dirty. For paying over 700 dollars a night, it at minimum needs to be clean.",1
95898148,5,Really beautiful views and accommodating staff. Good job!,0
95898149,4,Our business meeting went according to plan and the service provided was more than adequate. Thank you!,0
95898150,5,We are so appreciative of everything the staff does here. They are truly the stars of the resort.,0
95898151,1,What a distasteful experience! Everything is so overpriced with the lackluster service!,1
95898152,5,Your services here are unparalleled! The beach is the best part about this resort.,0
95898153,4,It's a really fun resort. Definitely a place to be in the summer. Really great amenities and beautiful views.,0
95898154,4,The food here was surprisingly good! The pool staff came in handy with great cocktails and food.,0
95898155,5,"Everything considered, this resort produces quality value with the food, scenery and the amenities.",0
95898156,5,So many great things for the family to do! Thank you for the great experience!,0
95898157,4,Much love goes out to the staff who do their best with what they have. Not the best experience but still a positive one!,0
95898158,5,Amazing. The Pearl had the best seafood I've ever had,0
95898159,5,The new revamp of the Pearl was amazing! Lovely new food options!,0
95898160,5,The staff and service is unbeatable here!,0
95898161,4,Rooms were unclean when we came in but the housekeeping made it brand new. The front desk apologized and made it up by providing free amenities. They really do go above and beyond.,0
95898162,5,The pool was really nice to have the kids be out there and play. Definitely a highlight.,0
95898163,5,The hotel amenities that were beachside cannot be beaten here.,0
95898164,5,I want to be here all the time. It is so beautiful and the staff here really are caring.,0
95898165,4,Really great. The meeting we had was taken care of nicely with the food and drink provided.,0
95898166,1,This was an upsetting find of a resort. Our rooms were not cleaned properly. We relocated three times to new rooms and each and every time our rooms were filthy.,1
95898167,3,"It was a nice stay overall. The spa however, was definitely not the best, but it was made up by the fact that it was beautiful and things were taken care of quickly.",0
95898168,1,"You all need to do better. If I can't enjoy my dinner in peace, then there is no way I am returning. Things need to be handled here. It should not be expected for the guest to take care of their own problems.",1
95898169,1,Gross and awful. The spa made me so angry and there was nothing to accommodate my dietary restrictions.,1
95898170,2,This resort was a letdown. The spa was not good and the in room dining service was just okay. It is a very beautiful place but that's all it is. It’s just a ,1
95898171,1,"My bags were lost, the front desk were incredibly rude, and the bar food and drink that you tried to make it up with was just downright terrible. Never again will I stay here.",1
95898172,5,I will be back. This is amazing with all of the innovative food items at the pool and the lovely amenities.,0
95898173,5,This resort is such a great time! I can't believe how beautiful it is and amazing the staff are.,0
95898174,1,The spa is absolutely awful. I can't believe you charge over 90 dollars for mediocre massages.,1
95898175,5,Wow! This is all I can say because everything is so perfect! I love the aesthetic!,0
95898176,5,I cannot begin to describe the amazing time we had. Absolutely breathtaking.,0
95898177,5,The food was impeccable. The seafood specials that were provided were absolutely phenomenal.,0
95898178,4,This a lovely spot to host any type of event. The event staff really do a great job and the amenitites to provide to event guests are nice as well.,0
95898179,5,The concierge team provided so much and made it such a personal and lovely stay for my family and I. I can't thank them enough.,0
95898180,5,Thank you for the great time!,0
95898181,4,Lovely place. The breakfast buffest is definitely the place to be to pick yourself back up.,0
95898182,4,Pretty good resort overall! I was pleasntly surprised about the service and their efficiency!,0
95898183,3,Standard resort with good amentities. It's pretty confusing to navigate though.,0
95898184,5,It's such a good place to be with friends and family. They even have beach amenities for guests!,0
95898185,5,It can't get better. The poolside bar is definitely my go to when I come back.,0
95898186,4,The staff was wonderful here. ,0
95898187,3,"It was a good stay. Unfortunately, my room was messy when we came in and the in room dining was not good",0
95898188,1,Awful! Don't provide in-room dining anymore. Everything was disgusting.!,1
95898189,1,"To be frank, this was an awful stay hosted by an incompent front desk team. You can't tell me what I experienced here when I was the one who experienced it. You are downright in the wrong and need to be fired.",1
95898190,1,It's not good. I had high hopes and I was wrong. Your team needs to do better in providing better service.,1
95898191,5,I can't wait to come back here and take my family to your beach! It's so much fun!,0
95898192,1,How do I get bumped off of my spa treatment? What kind of place are you running here?,1
95898193,4,This is such a fun resort. There are things I would change but overall it was pleasant!,0
95898194,1,"I really don't like to complain, but when there are bugs and hair in our supposedly clean room, something needs to be said. ",1
95898195,5,I can't thank you all enough for how wonderful you made my birthday party here!,0
95898196,4,What a great place to be in the summer. The amenities around the hotel itself are very fun.,0
95898197,1,Grossly overrated hotel. The service alone is not deserving of anything higher than a 1 star rating.,1
95898198,1,Your staff is so pretentious. I simply ask a question about the menu and they scoff at me as if I did something wrong. Train your people to be better. This was the worst experience I have ever had in my life.,1
95898199,5,Simply world class! You guys do everything right here!,0
95898200,4,Really great resort with lovely food options. The drinks made at the bar are especially delicious.,0
95898201,4,Really cool place. Very beauttiful!,0
95898202,5,Thank you!,0
95898203,4,Really great experience to be here!,0
95898204,1,Never again will my family and I come here. This place was overpriced and unclean. The services here are such a disappointment.,1
95898205,1,Why can't housekeeping do their job? It's not hard to clean a room!,1
95898206,5,I've never had food quite like this at a resort. This was definitely something special.,0
95898207,5,I love this resort! The staff are the best here as they provided everything that my party and I needed for our wedding.,0
95898208,5,Simply amazing and beautiful. The poolside margaritas were amazing.,0
95898209,5,Thank you for such an amazing stay!,0
95898210,4,Pretty good resort that provides everything you need.,0
95898211,5,We are so thankful for our stay! This was actually the best time my family and I had.,0
95898212,4,"Overall, this was a great stay and the food was fantastic. The tilapia was amazing!",0
95898213,5,This was amazing! The ambiance and food was superb!,0
95898214,1,Unbelievable! This was awful. I will never be here again with how poor everything was here.,1
95898215,1,"How do you make guests pay for this type of experience? Our spa appointment was moved without notice, and once we got there, it was awful!",1
95898216,1,The spa needs to be taken care of. The water is so hard and the spa workers were unaccommodating to make any changes for us. What a waste.,1
95898217,1,"I am trying to like this place. However, when you food is consistently inedible and your rooms are gross, I can't do it. After five years of being here, I won't ereturn.",1
95898218,4,"It's always a pleasure to say here! I didn't like this year's food specials, but it still gives the best memories.",0
95898219,5,So much fun. I can't begin to describe my experience.,0
95898220,4,I love this place. It was a bit chaotic but overall a great time,0
95898221,1,Never again. Your food is so overcooked at the pool and the drinks are unappetizing.,1
95898222,4,The staff really are incredible. You all are amazing.,0
95898223,5,I loved everything about our stay! Thank you!,0
95898224,5,Hotel with Personality!,0
95898225,5,What a great experience!,0
95898226,5,Great hotel!,0
95898227,5,"Friendly, helpful staff and comfortable rooms!",0
95898228,5,So amazing! I loved every bit of our stay! Thank you for the great experience!,0
95898229,4,Valuable experience to remember!,0
95898230,2,Never again!,1
95898231,5,Excellent,0
95898232,4,The staff at the place is extremely friendly.,0
95898233,2,I don't understand the mindset as to the reason why this place can't be clean!,1
95898234,4,EVERYTHING WORK OUT JUST FINE,0
95898235,4,Great stay. ,0
95898236,5,Honestly such a great time!,0
95898237,5,I absolutely loved it and will definitely be back in the near future!,0
95898238,3,NIGHT MARE!!!,1
95898239,2,The staff here are so rude and the owner is cheap with what they provide here.,1
95898240,3,Need the minimum for an inexpensive price - this is the deal for you!,1
95898241,5,We'll be back.,0
95898242,4,We'll be back again,0
95898243,5,Definitely coming back!,0
95898244,2,There are definitely bed bugs here,1
95898245,5,It's my favorite place go I've booked for November for my birthday this year.,0
95898246,5,"Room seemed to be brand new, very clean, and was perfect. was completely 100 and more satisfied. The staff there was so friendly.",0
95898247,5,We'll be back.,0
95898248,1,Your staff is so pretentious. I simply ask a question about the menu and they scoff at me as if I did something wrong. Train your people to be better. This was the worst experience I have ever had in my life.,1
95898249,5,Simply world class! You guys do everything right here!,0
95898250,4,Really great resort with lovely food options. The drinks made at the bar are especially delicious.,0
95898251,4,Really cool place. Very beauttiful!,0
95898252,5,Thank you!,0
95898253,4,Really great experience to be here!,0
95898254,1,Never again will my family and I come here. This place was overpriced and unclean. The services here are such a disappointment.,1
95898255,1,Why can't housekeeping do their job? It's not hard to clean a room!,1
95898256,5,I've never had food quite like this at a resort. This was definitely something special.,0
95898257,5,I love this resort! The staff are the best here as they provided everything that my party and I needed for our wedding.,0
95898258,5,Simply amazing and beautiful. The poolside margaritas were amazing.,0
95898259,5,Thank you for such an amazing stay!,0
95898260,1,Very unclean. The rooms smelled of mold and everything in the room felt stale. The air was pungent during our stay.,1
95898261,1,"I know this isn't the hotel's fault for it being noisy in another patron's room, but to not try to helpus find a resolution is absolutely unacceptable. Our stay was absolute hell.",1
95898262,4,Really fun place to be! The beach was amazing!,0
95898263,2,The hotel was unclean when we stayed. Do you not have proper housekeeping?,1
95898264,4,"Very clean hotel, good breakfast, good value for your money. The only reason for not giving it 5 stars... the single bed rooms are small. I did not get a chance to use the pool, but pool room looked extremely clean as well.",0
95898265,4,The front desk clerk was strangely short with me. But everything else was nice.,0
95898266,4,The staff is really nice and they go out of there way too help. Breakfast was amazing during our stay!,0
95898267,5,Lovely all around! The seafood was amazing and the pool was great!,0
95898268,1,This was a horrible stay. The hotel was run down and dirty. We were not able to get to our reserved king room because supposedly the battery in the door was going bad and couldn't get in after going back to the office.,1
95898269,2,Our room was sub-standard. Two of the four lights didn't work. The bath tub and sink needed to be cleaned. They both drained VERY slowly. While showering you had to stand in water up to your ankles. The fitted sheet was on the bed inside out... certainly hope that they didn't turn it over.,1
95898270,2,Not quite what we hoped at all. I wish everything was taken care of a little bit better.,1
95898271,5,The food was amazing here! The steak house was really interesting and had great options for everyone in our party.,0
95898272,4,It's really a cute hotel with beauty and standards. So nice!,0
95898273,1,Why are the rooms so unclean? Our room was so filthy with the sheets not steamed and pressed!,1
95898274,4,Everything was pretty good! No compplaints at all.,0
95898275,3,It was a pretty standard resort experience. The best thing here is the beaach.,0
95898276,3,Nothing too mind-blowing. The rooms do the job and the food was pretty good at least.,0
95898277,1,I can't believe how awful this was. It was really awful all and all.,1
95898278,5,Excellent hotel so beautiful,0
95898279,4,"Loved the room, it was cute, cozy, and comfortable!",0
95898280,5,Very good resort with lovely amenities! You guys do great,0
95898281,3,Please fix your spa. Other than that it was a great time here.,0
95898282,5,Fun and exciting beach vibes. Will be coming back again with family!,0
95898283,2,Our toilet was not functioning for the majority of our stay. We tried to move but there was nothing available. They offered us vouchers for another stay but what's the point if the stay is already horrible in the first place?,1
95898284,5,You guys are so amazing. Your staff is phenomenal as they service everything we need when we need it. Thank you!,0
95898285,5,We are so appreciative of your help! You guys did wonderful.,0
95898286,1,So disappointing! I can't get help for my life! Just to get an answer about the simplest things regarding the hotel is so arduous here!,1
95898287,4,Really fun place and the views are so surreal!,0
95898288,5,Lovely amenities along with great staff. This was amazing.,0
95898289,5,I will never go anywhere else again for vacation. Thank you all for a beautiful experience.,0
95898290,1,I should not be charged for this experience! My family and I had such a poor time here it's ridiculous,1
95898291,2,Nice staff but they seemed uninformed about events happening around the resort.,1
95898292,4,Nice for the price,0
95898293,3,The rooms were beautiful and overall it was nice but the spa was disgusting.,0
95898294,5,Great stay that exceeded expectations!,0
95898295,5,Thank you!,0
95898296,5,This was a great present for my son. This absolutely was the best graduation present and great getaway for my son and my family.,0
95898297,5,Amazing. Everything was mindblowing,0
95898298,4,Will absolutely visit again.,0
95898299,2,Mediocore resort experience. I felt very much let down,1
95898300,4,"very comfortable, greatful for the wakeup call to catch the plane!",0
95898301,5,We were greeted with joy and happiness--felt good,0
95898302,4,The beach was serene and the pool side amentities are so nice.,0
95898303,4,The best aspect of this resort are its amentities. There is a lot to do for the family here at the hotel.,0
95898304,4,"What a great vacation spot. Even for business meetings, it was really fun!",0
95898305,4,My wedding went off without a hitch here at the hotel. Thank you for this experience!,0
95898306,5,Quick and fun beach getaway,0
95898307,4,Wonderful stay!,0
95898308,5,A really cool secluded beach stay. Truly amazing to be here.,0
95898309,5,Two thumbs up for your staff. They were outstanding.,0
95898310,3,I feel cheated for how much we had to pay. It still was a great experience though,0
95898311,1,Don't be fooled. It’s definitely pretty but that's all it is. The service and food is terrible with nothing to do.,1
95898312,5,It was an unforgettable time! Thank you all again!,0
95898313,3,"Good hotel, but not so crazy about the area as it is so far away from the city.",0
95898314,5,This hotel has everything. Beautiful grounds and interior. We stayed here for 3 nights but wish we had booked longer as we didn't have time to make use of the amazing pool area.,0
95898315,5,This is an excellent property. It really fits the resort catagory. ,0
95898316,5,Great hotel and activities. They think of everything. Customer service is absolutly great. We will difinitly be back in our future trip. Thank you!,0
95898317,5,Such a great resort! The food and service is amazing.,0
95898318,5,I cannot say enough about our family vacation. The place is amazing. The best though is the incredible club lounge for club level guests. The food was sooo good! They accommodated gluten free every meal or snack.  ,0
95898319,5,Great resort all in all! The beach is secluded and has lovely amenities!,0
95898320,5,Everything about our stay from the moment we checked in was a very positive experience. Our room was beautiful. The pool area was also nice and clean with plenty of towels and loungers available. Definitely the perfect stay!,0
95898321,4," The customer service was variable and I was disappointed with their lack of assistance when we encountered an issue with our air conditioner, but still great overall.",0
95898322,3,"Room rate was high, only had a King size bed, check in was very long, tour bus was parked and running for a long time, room was quiet and large. bathroom did not have a working tub.",0
95898323,4,"Hotel was just ok nothing special. Was down here for a party weekend so worth it. The town is amazing, because theres so much fun stuff to do there. Great many bars and restaurants.",0
95898324,5,"I stayed here with a couple friends. Very friendly hotel!  The location is far from all the action, but a quick cab ride away... worth the stay. ",0
95898325,4,"The folks here have paid attention to detail and made this a wonderful place to stay. There is Plenty of room for parking, a nice breakfast, comfortable rooms, easy check in and out. ",0
95898326,5," They had a contential breakfast at the hotel and that was nice. It had a great selection with staff that worked really hard the entire time to keep everything stocked, cleaned, and looking nice. It was just a nice hotel all around and we couldn't beat the price. Very happy with our stay here.",0
95898327,5,We had an amazing time!,0
95898328,5,The food was so good and the ambiance was lovely. Will be back soon.,0
95898329,5,What a great place to be at during any time of year. There are a bunch of differentt things to do on the island and the cincierge helps with anything you may need.,0
95898330,2,"After my business meeting, I came to a room that was not cleaned. Is there no housekeeping here?",1
95898331,1,The spa package is a total ripoff!,1
95898332,1,The spa is so awful. The water is hard and nothing there is comfortable at all.,1
95898333,4,"This hotel has everything you need and was tastefully done, but you'd never want to stay in it more then a night or two. ",0
95898334,5,"My husband made these reservations and I was a bit nervous after reading some reviews. However, our room was spotlessly clean, overlooked the lovely pool area and was quite nice. ",0
95898335,5,This property was delightful in every way -- the perfect place to celebrate my birthday!,0
95898336,1,"What a bad mistake choosing this hotel.  I thought that I could expect a certain minimum standard in service and accommodation because we frequent often, but this last experience has been the worst. Overcooked food, and horrible service overall.",1
95898337,4, I would return here for the accommodations and pool area! It's definitely one of the prettier places that I have been to.,0
95898338,3,"this a definitely memorable experience with my family but overall, it wasn't anything too extravagant.",0
95898339,2,We are repeat guests but sadly this will be our last stay as we will be looking to take our family elsewhere. This was our first vacation that we could not wait to get back home.,1
95898340,4,"Stayed for a total of eight days. Rooms spacious and updated recently. Everything in working order. A/C a bit noisy, but working fine. Overall, Hotel is showing its age here and there, but it is good value for the price. ",0
95898341,2,Very strong smell in the hallways I was in the last room on the second floor and the internet did not work They offer storage of luggage service but not allowed to leave the luggage after checkout. Extremely rude clerk who answered me in the checkout,1
95898342,1,Our toilet and bathtubs were creaking allowing us not to sleep. Please do better in maintaining the rooms. This was the worst room ever.,1
95898343,1,I don't even know how this place is still operating. The girls at the checkout desk are rude and confrontational. Their faces depict people that are being forced to work... Not helpful whatsoever. ,1
95898344,5,The most family friendly resort I have been to. Such hospitality!,0
95898345,5,. The service was fast and very friendly. All smiles. I enjoyed being at the pool!,0
95898346,4,I went here with friends from work and we had a good time. They have a small bar area but was good enough for the ten of us. Only drawback was the slow food service as it took over an hour for two small appetizers.,0
95898347,5,.The hotel is beautiful with a 5 story lobby and the room was really nice. The staff accommodated all of our requests to be in a quiet area.,0
95898348,5,I really like this hotel. The staff is friendly helpful. The rooms are clean and comfortable. It is quiet and allows for a great nights sleep especially after your conventions.,0
95898349,5,This was just what we needed to turn things around! We arrived early and they did not have rooms ready so they gave us drink vouchers and although we maybe waited 30 mins for a room they kept checking on us as well. Thank you!,0
95898350,4,No complaints. Really great resort with nice beach amentities.,0
95898351,5,Lovely beach resort with a beautiful view of the sunrise and sunset,0
95898352,5,The hotel staff was very knowledgeable and friendly. The beds were comfortable and sheets were clean. Check-in was a breeze.,0
95898353,4,Nice,0
95898354,4,I have stayed at this resort several times. The location is great and the staff is friendly. The hot water was only warm which made the stay less than stellar.,0
95898355,3,"This resort was nice overall, but our meeting could have been much better executed.",0
95898356,4,Our first stay at this location it was ok.. Very nice breakfast not much room to sit though. Found internet ok in lobby but not in the assigned room. Would stay again but need the internet in the room.,0
95898357,3, i tried to reach my fiance on the room phone so annoying but the hotel can use some new clean mattresses. Anyways the phone issue was my biggest problem.,0
95898358,2,the room we stayed in was unclean and felt cheap. Some of the wood was chipping off our headboard.,1
95898359,4,"This is by far my favorite resort I have been to. Nicely decorated, very clean, and it is nicely secluded from the busy city!",0
95898360,1,"I stayed in a room on the 3rd floor. Upon waking up, I found a bed bug on the curtain. After calling the front desk, I was told that finding a bed bug was absolutely impossible. Such a disgusting attitude and room alike.",1
95898361,2, Staff was friendly and easy check in. Everything else was disappointing and overpriced. Especially with how bad the spa is.,1
95898362,5,Checking was fast and the staff were friendly. This is a very nice hotel. The room was excellent with comfortable furniture and bed. ,0
95898363,2,"I checked in to the hotel greeted with a smile, which was good.. When I went in to the room, it was stuffy even with the AC on. Which was really, really loud. I could not sleep. And if I turn down the AC, it was too hot.  The bathroom was moldy. The breakfast was bad. The coffee was horrible. All in all, I had to check out after 1 night of my 5 night vacation.",1
95898364,5,"We were thoroughly satisfied with our stay at Holiday Inn Express.  For a budget hotel, the surroundings were clean, freshly painted, and we commented that the bedding was the most comfortable of any we'd slept in.  We would definitely recommend this hotel.",0
